t,latitude,longitude,altitude
0,32.990262091040194,-106.97497657312582,1472.1529331064999
1.0,32.99028533339288,-106.97499796979073,1511.2528531137677
2.0,32.990381942597175,-106.97495905093321,1647.6877321406755
3.0,32.99052370739618,-106.97489452748424,1876.8614840592077
4.0,32.99074485642445,-106.97481019077296,2159.5726468669204
5.0,32.99095057752502,-106.97474162054625,2427.044079544714
6.0,32.99112031634261,-106.97471303906264,2673.5147460201733
7.0,32.9913247018088,-106.97461759271968,2904.0771228271424
8.0,32.99149441653419,-106.97455394226293,3116.9377416995926
9.0,32.9916648399696,-106.97447092083567,3315.689208266269
10.0,32.99184878306086,-106.97443513479416,3499.6910042464215
11.0,32.99202186298246,-106.97435695254482,3670.9186459452953
12.0,32.99219313805935,-106.97428626366023,3824.5376584484347
13.0,32.99234545768924,-106.97425962939306,3969.4577629054734
14.0,32.99251423968277,-106.97418207797989,4100.489225862712
15.0,32.99267429789746,-106.97414929962815,4221.888230626325
16.0,32.99283113354229,-106.97407285960698,4330.597811519211
17.0,32.992980085741706,-106.9740085360488,4429.520929627536
18.0,32.993135971373135,-106.97395883794447,4516.571392166404
19.0,32.993276798806015,-106.97391724088223,4594.576632635974
20.0,32.993417381047905,-106.97386807660726,4658.743326383086
21.0,32.99358717619906,-106.97380345987278,4715.81022926285
22.0,32.993742244912546,-106.97372145925397,4761.484598322127
23.0,32.99387399257662,-106.97369036813717,4798.199777980009
24.0,32.99403512929239,-106.97361909734337,4825.587750484878
25.0,32.99418601971652,-106.97357568469484,4840.564621729542
26.0,32.99432180323879,-106.97350325349575,4846.977441869508
27.0,32.99448502102992,-106.97344002313298,4842.384807713074
28.0,32.99462265136891,-106.97338433082547,4832.639077575609
29.0,32.9947835173576,-106.97333444399607,4808.414170679458
30.0,32.994894915548485,-106.97328674049285,4779.862384636201
31.0,32.995050956560476,-106.97324026844686,4737.598402296953
32.0,32.9951705224472,-106.97318325168304,4689.5536678851795
33.0,32.99528849120273,-106.97311425877008,4630.8583576139745
34.0,32.995424210573454,-106.97307454132408,4563.603895977058
35.0,32.99554832836783,-106.97300172544978,4484.614177450769
36.0,32.99568256946878,-106.97296088953198,4399.822724019578
37.0,32.99580881290473,-106.97289190604404,4308.479027681565
38.0,32.995942778996934,-106.97280620312945,4205.70600716589
39.0,32.99606129906091,-106.97277893436822,4095.6017277276114
40.0,32.99617638294715,-106.97272720454546,3979.4597048988544
41.0,32.99630570643071,-106.97268962696111,3849.803719931888
42.0,32.99640313720279,-106.97262217590838,3716.310786969694
43.0,32.99654063631896,-106.97258144324722,3571.797732398208
44.0,32.99666826037299,-106.97254984353121,3422.381594549364
45.0,32.99676133516572,-106.9724754041296,3265.84512909841
46.0,32.99688541622189,-106.97241279984803,3103.5521787111784
47.0,32.99699614223984,-106.97237900117949,2935.2671938154713
48.0,32.99710780097457,-106.97233133463612,2762.6379033542316
49.0,32.99721322229968,-106.97229003574348,2580.948930727485
50.0,32.99731879427412,-106.97226827437983,2394.8483494751586
51.0,32.99741715030461,-106.97220396880884,2204.4441630983883
52.0,32.997514417152566,-106.9721741355241,2009.7813104988177
53.0,32.99761317197292,-106.97212951193828,1808.214796024913
54.0,32.99773208848945,-106.97208683990188,1607.5596108585432
